date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2025-05-30,35005,35675,34800,35600,150575,77400,35295
2025-06-03,35605,35605,34270,34360,144680,71600,34900
2025-06-04,34300,35340,33840,35055,262747,67873,34635
2025-06-05,34810,34910,34370,34540,127429,65802,34620
2025-06-06,35000,35335,34470,34740,134443,65179,34885
2025-06-09,34620,34700,33985,34105,123726,64383,34240
2025-06-10,34000,34375,33640,33955,107030,62708,34010
2025-06-11,33980,34355,33795,34255,79861,60199,34060
2025-06-12,34060,34220,33570,33585,65591,61698,33860
2025-06-13,33560,34000,33355,33695,82151,56863,33670
2025-06-16,33765,34330,33640,34320,62835,51277,34035
2025-06-17,33070,33120,32525,32705,29911,55451,32695
2025-06-18,32700,33000,32230,32570,60405,54731,32575
2025-06-19,32480,32580,32030,32120,49267,63092,32295
2025-06-20,32155,32240,31210,31220,92342,68129,31660
2025-06-23,31200,31385,30605,30615,88450,78183,30935
2025-06-24,30615,31650,30440,31085,171969,72286,31120
2025-06-25,31000,31125,30400,30625,146141,80107,30655
2025-06-26,30745,31800,30700,31715,225035,77132,31425
2025-06-27,32000,33585,31350,33315,294743,69062,32075
2025-06-30,33295,34120,32840,33535,421176,66333,33500
2025-07-01,33470,33500,32355,32700,261490,61196,32760
2025-07-02,33350,35050,33035,35050,411586,95005,34315
2025-07-03,35700,35900,34780,35050,482063,76908,35270
2025-07-04,35880,36295,34910,35510,516583,77334,35500
2025-07-07,35100,36525,35050,36515,440264,105230,35875
2025-07-08,36505,38385,36180,38385,634366,110547,37390
2025-07-09,38480,40045,38230,39270,794464,97187,39190
2025-07-10,39500,41660,38760,41345,1014567,98601,40545
2025-07-11,41150,41825,40215,41000,352757,118755,41040
2025-07-14,41005,41775,40455,41445,254746,127420,40990
2025-07-15,41220,42985,40860,42120,431964,131355,41995
2025-07-16,42000,42980,41550,42710,383989,144766,42240
2025-07-17,43655,45315,43220,45300,506034,174693,44015
2025-07-18,45105,45855,42920,43850,1045074,155539,44175
2025-07-21,45280,45850,44065,45660,621314,172057,45055
2025-07-22,45880,49105,45725,49105,757482,192179,47470
2025-07-23,50905,53165,48500,50080,1246241,165641,51130
2025-07-24,50025,55605,48610,53765,1123795,172564,52150
2025-07-25,52820,54730,50565,51025,747961,155168,52470
2025-07-28,48000,50700,47750,49405,581460,136295,48965
2025-07-29,49500,51800,48640,50805,546037,140638,50250
2025-07-30,51800,54770,51570,54705,565243,164490,53290
2025-07-31,52500,52800,48510,49130,565838,126989,50735
2025-08-01,50300,51150,48005,49200,383215,110762,49350
2025-08-04,48500,48870,47500,48720,175335,98033,48250
2025-08-05,48615,51390,48420,50330,433130,127587,49740
2025-08-06,50300,52285,50085,51345,420201,138396,51555
2025-08-07,51290,51715,49700,50110,400810,136324,50625
2025-08-08,50290,50875,49020,50790,434972,137596,49825
2025-08-11,50600,53350,49800,52985,592822,139739,51445
2025-08-12,52800,53400,51300,51800,481809,136055,52395
2025-08-13,51500,52950,51050,51290,395645,132463,52035
2025-08-14,51385,51760,49300,50430,415544,127757,50470
2025-08-15,50505,52920,49470,52740,619561,138723,51400
2025-08-18,52810,53500,51700,52280,425548,135517,52540
2025-08-19,52275,53300,51020,52260,580607,137977,52145
2025-08-20,51700,52120,49370,51875,704931,150086,50880
2025-08-21,52200,52800,51145,51530,447553,149610,52035
2025-08-22,51880,51980,50520,51405,445445,142397,51205
2025-08-25,52320,52940,51400,51580,360522,136801,52055
2025-08-26,51480,51680,50820,50985,265820,137478,51195
2025-08-27,50915,51070,48540,48690,502410,154537,49715
2025-08-28,49220,49800,48355,49665,376304,143912,48960
2025-08-29,49400,50080,48800,49555,353059,144997,49310
2025-09-01,49265,52420,48220,52285,536098,150409,49895
2025-09-02,52360,52890,51120,51875,530778,145855,51985
2025-09-03,52000,52375,51255,52160,362759,149210,51910
2025-09-04,51700,52405,51600,52195,268080,145950,52055
2025-09-05,52350,56735,52350,56735,665242,185039,54875
2025-09-08,56080,56480,54520,55710,456880,154011,55595
2025-09-09,55555,56790,53300,53520,584927,142980,55320
2025-09-10,52400,53400,51800,52885,411979,137072,52690
2025-09-11,53200,53870,52530,53710,278296,136326,53035
2025-09-12,53520,54560,53000,53610,356808,134898,53730
2025-09-15,53630,54100,52720,53545,237981,132212,53400
2025-09-16,55600,55900,53500,53670,316394,127779,54630
2025-09-17,53665,53800,53020,53490,186238,126234,53465
2025-09-18,53200,53745,52620,53205,198758,122834,53160
2025-09-19,53365,54100,51925,52700,329612,115849,52910
2025-09-22,52925,53125,50880,50990,253135,123917,51675
2025-09-23,50900,51050,49375,50260,296108,116091,50170
2025-09-24,50300,51630,49920,51380,242016,111187,50910
2025-09-25,51480,51685,50840,51365,184786,105474,51360
2025-09-26,51100,51880,50540,51465,202601,101486,51420
2025-09-29,50950,51530,50005,51280,158112,93768,50825
2025-09-30,51425,51550,50185,51360,163314,87359,50765
2025-10-09,51280,51550,49355,50765,201311,84987,50185
2025-10-10,50750,50930,48885,48965,203722,91009,49915
2025-10-13,48575,49825,47720,48740,246976,87665,48745
2025-10-14,48695,50445,48275,49990,297703,81388,49205
2025-10-15,49975,51580,49780,50865,276176,80114,50805
2025-10-16,50690,52880,50520,52575,266129,78885,51755
2025-10-17,54450,55530,54105,54865,83925,89911,54780
2025-10-20,54500,55235,52800,52830,71494,79793,53755
2025-10-21,52630,53500,52305,53075,56591,79358,52985
2025-10-22,53005,53185,52235,52705,51603,78547,52600
2025-10-23,52925,53635,52630,53140,52668,77752,53175
2025-10-24,52680,53030,52045,52305,169042,81555,52495
2025-10-27,52510,54520,52425,54500,238898,105877,53510
2025-10-28,54325,55090,54190,54355,208200,114932,54595
2025-10-29,54600,55880,54000,54990,307284,118430,55030
2025-10-30,54900,55455,54435,54950,223914,126052,54910
2025-10-31,54970,56655,54970,56410,313999,142356,55965
2025-11-03,56320,56370,55275,56065,215288,143844,55900
2025-11-04,56000,56095,53580,53715,274348,128876,54690
2025-11-05,53500,53855,53045,53355,175236,125062,53445
2025-11-06,53455,54400,53175,53395,256104,122244,53760
2025-11-07,53000,53830,52080,53215,269434,125517,53145
2025-11-10,53000,53985,52500,53720,218786,125974,53260
2025-11-11,53600,54565,51800,51930,324598,138468,53230
2025-11-12,51890,53550,51150,53460,413154,140617,52265
2025-11-13,53500,54480,53160,54195,277916,144026,53940
2025-11-14,54200,54770,53705,54045,270607,145191,54225
2025-11-17,54060,54460,52595,52655,249766,136243,53095
2025-11-18,52000,52800,51670,52210,173704,137091,52385
2025-11-19,52300,54985,52300,54625,361538,134317,53700
2025-11-20,54500,55300,52160,52450,304835,134292,53495
2025-11-21,52330,53570,51710,53360,343398,126266,52710
2025-11-24,53600,53820,52735,53315,187876,128427,53245
2025-11-25,53315,54795,53315,54730,235600,129077,54305
2025-11-26,54730,56580,54550,55895,330316,143043,55740
2025-11-27,56195,57070,55110,55235,324070,141586,56055
2025-11-28,55215,56450,55215,56425,181263,144759,55885
2025-12-01,57000,59200,56710,57705,338696,142133,57875
2025-12-02,56505,57100,55750,56315,245798,129296,56365
2025-12-03,56085,57580,55935,57430,182425,127738,56885
2025-12-04,57270,57935,56480,56915,175576,116653,57205
2025-12-05,56800,57000,55350,55510,159380,97991,56030
2025-12-08,52780,54550,52750,54545,157970,79367,53755
2025-12-09,53000,54835,52625,54615,154990,105532,53655
2025-12-10,54925,56670,54115,54600,184575,108249,55040
2025-12-11,54700,56280,54325,55765,197180,117281,55585
2025-12-12,56000,57635,54380,57190,314687,126436,56010
2025-12-15,57000,58985,56320,58030,314139,142844,57745
2025-12-16,60000,60080,58315,58600,276948,148018,59020
2025-12-17,58600,61985,58595,61595,373299,153468,60880
2025-12-18,61500,61960,58960,59300,398819,139860,60460
2025-12-19,59010,61400,58350,60245,278789,139187,60095
2025-12-22,60000,61150,58400,58845,213280,134949,59770
2025-12-23,58580,59715,58070,59225,153313,131603,59070
2025-12-24,58000,58980,57025,58300,197440,127084,57975
2025-12-25,57780,61050,57600,60760,124231,132126,59735
2025-12-26,60000,60720,58000,58955,131090,119162,59375
2025-12-29,59000,60000,55645,56500,69428,95631,58000
2025-12-30,56500,58395,56000,57890,42713,83335,57330
2025-12-31,57660,58190,56515,57920,23571,76368,57320
2026-01-05,58345,59200,57500,58645,17155,74571,58380
2026-01-06,59150,60200,58830,59365,19919,72353,59570
2026-01-07,59400,60000,58260,58300,20581,67800,58910
2026-01-08,57000,57300,53610,53610,39605,58049,55830
2026-01-09,50500,52495,50080,51300,46250,50943,51485
2026-01-12,52350,54730,49005,49995,42510,48830,51285
2026-01-13,49655,51000,48145,49005,28379,48844,49670
2026-01-14,49960,50385,48000,48945,20942,48439,48855
2026-01-15,48580,49600,48300,48670,12703,47798,48975
2026-01-16,48700,51330,48380,50200,21717,46220,50190
2026-01-19,50200,51200,49105,50505,12235,44571,50245
2026-01-20,50650,51030,49870,50700,10115,43632,50505
2026-01-21,50330,50840,48325,49700,15484,43920,49330
2026-01-22,48900,50710,48900,50515,10922,43318,50290
2026-01-23,49970,51325,49970,50720,13443,41291,50675
2026-01-26,50700,52580,50510,51280,13705,41290,51685
2026-01-27,51990,52900,50400,51900,11224,41439,51995
2026-01-28,52635,52635,50600,50805,8361,41415,51510
2026-01-29,51800,52495,49025,49335,15626,42745,50245
2026-01-30,49500,49525,47005,47140,19537,42513,47845
2026-02-02,47250,48260,45450,47050,17789,40278,46900
2026-02-03,47200,50995,47150,50000,18297,38411,49110
2026-02-04,50040,51200,49100,51195,13013,39092,50315
2026-02-05,51500,51900,49000,49550,11483,38804,50210
2026-02-06,49150,50800,47675,49285,10683,37934,49455
2026-02-09,49500,50090,49155,49370,4706,38347,49560
2026-02-10,48815,49735,48500,48950,3991,38617,49015
2026-02-11,48125,49320,48125,49180,4793,38313,48800
2026-02-12,48840,49345,48200,49015,4540,37702,48830
2026-02-13,48835,49305,48310,49305,3787,36844,48975
2026-02-24,48505,49320,46800,47000,8503,37729,47995
2026-02-25,47405,47795,47200,47630,5136,38292,47545
2026-02-26,47545,47780,46155,46315,8466,39925,46655
2026-02-27,46550,46720,45505,46495,9639,40197,45905
2026-03-02,46670,47450,44105,44930,11716,40753,45100
2026-03-03,45100,45100,43320,43700,9256,39340,44195
2026-03-04,43380,43700,41640,42200,12436,37638,42365
2026-03-05,42000,44385,41980,42280,9962,36908,42945
2026-03-06,42385,42385,40545,41115,9065,36990,41395
2026-03-09,41500,44950,41135,42700,19269,35210,42955
2026-03-10,42400,43600,42070,42450,6809,35013,42790
2026-03-11,41710,43400,41710,42590,4663,34909,42735
2026-03-12,43100,43100,42200,42760,4644,34264,42915
2026-03-13,42915,44660,42040,42040,12877,34457,43455
